Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1786827053,20,,Aggregated,12.400000,0.000000,81,110,140,170,260,370,530,670,1100,1300,1300,1488,0,81,125.59151723822866,18.06770800612867,1324.614292010665,3285.7869623655915
1786827054,20,,Aggregated,12.400000,0.000000,80,110,140,170,260,370,530,670,1100,1300,1300,1500,0,80,125.14186046101774,18.06770800612867,1324.614292010665,3284.153333333333
1786827055,20,,Aggregated,11.800000,0.000000,81,120,140,170,260,390,530,650,1100,1300,1300,1514,0,81,126.13821765224915,18.06770800612867,1324.614292010665,3286.294583883752
1786827056,20,,Aggregated,12.100000,0.000000,81,120,140,170,260,390,530,650,1100,1300,1300,1519,0,81,126.52570851445455,18.06770800612867,1324.614292010665,3284.8314680710996
1786827057,20,,Aggregated,12.100000,0.000000,81,120,140,170,260,390,530,650,1100,1300,1300,1532,0,81,126.7857085394414,18.06770800612867,1324.614292010665,3282.9334203655353
1786827058,20,,Aggregated,11.200000,0.000000,81,120,140,170,260,370,530,650,1100,1300,1300,1546,0,81,126.6207293449765,18.06770800612867,1324.614292010665,3290.551746442432
1786827059,20,,Aggregated,12.400000,0.000000,81,120,140,170,260,370,530,650,1100,1300,1300,1554,0,81,126.32368228780621,18.06770800612867,1324.614292010665,3289.600386100386
1786827060,20,,Aggregated,12.000000,0.000000,81,120,140,170,260,370,530,650,1100,1300,1300,1568,0,81,126.16294612687815,18.06770800612867,1324.614292010665,3287.0280612244896
1786827061,20,,Aggregated,11.400000,0.000000,81,120,140,170,260,370,530,650,1100,1300,1300,1580,0,81,125.76981805761557,18.06770800612867,1324.614292010665,3293.378481012658
1786827062,20,,Aggregated,11.300000,0.000000,81,120,140,170,260,370,530,650,1100,1300,1300,1591,0,81,126.30644562488246,18.06770800612867,1324.614292010665,3315.01382778127
1786827063,20,,Aggregated,11.200000,0.000000,81,120,140,170,260,370,530,650,1100,1300,1300,1600,0,81,125.95394697265874,18.06770800612867,1324.614292010665,3307.225
1786827064,20,,Aggregated,11.200000,0.000000,81,110,140,170,260,370,520,640,1100,1300,1300,1613,0,81,125.44752755727774,18.06770800612867,1324.614292010665,3304.535027898326
1786827065,20,,Aggregated,11.100000,0.000000,80,110,140,170,260,370,520,640,1100,1300,1300,1623,0,80,124.95520835358177,18.06770800612867,1324.614292010665,3290.113986444855
1786827066,20,,Aggregated,10.800000,0.000000,80,110,140,170,260,370,520,640,1100,1300,1300,1638,0,80,124.53155944059047,18.06770800612867,1324.614292010665,3291.2338217338215
1786827067,20,,Aggregated,11.000000,0.000000,80,110,140,170,260,370,520,640,1100,1300,1300,1646,0,80,124.12771921127329,18.06770800612867,1324.614292010665,3287.1008505467803
1786827068,20,,Aggregated,11.200000,0.000000,80,110,140,170,260,370,510,640,1100,1300,1300,1656,0,80,123.84667156693291,18.06770800612867,1324.614292010665,3288.602053140097
1786827069,20,,Aggregated,11.100000,0.000000,79,110,140,170,250,370,510,640,1100,1300,1300,1667,0,79,123.36437966699428,18.06770800612867,1324.614292010665,3290.088782243551
1786827070,20,,Aggregated,11.100000,0.000000,79,110,140,170,250,360,510,640,1100,1300,1300,1684,0,79,122.73659364362092,18.06770800612867,1324.614292010665,3280.8657957244654
1786827071,20,,Aggregated,11.300000,0.000000,79,110,140,160,250,360,510,640,1100,1300,1300,1694,0,79,122.3280350677669,18.06770800612867,1324.614292010665,3278.8819362455724
1786827072,20,,Aggregated,11.300000,0.000000,79,110,140,160,250,360,490,610,1100,1300,1300,1705,0,79,121.89404644909153,18.06770800612867,1324.614292010665,3270.680938416422
1786827073,20,,Aggregated,11.700000,0.000000,78,110,140,160,250,360,490,610,1100,1300,1300,1719,0,78,121.30628780536614,18.06770800612867,1324.614292010665,3254.6625945317046
1786827074,20,,Aggregated,11.200000,0.000000,78,110,140,160,250,360,490,610,1100,1300,1300,1730,0,78,120.97552903891525,18.06770800612867,1324.614292010665,3256.9063583815027
1786827075,20,,Aggregated,11.800000,0.000000,78,110,140,160,240,360,490,610,1100,1300,1300,1744,0,78,120.49183033918321,18.06770800612867,1324.614292010665,3261.0309633027523
1786827076,20,,Aggregated,12.200000,0.000000,78,110,140,160,240,360,490,610,1100,1300,1300,1753,0,78,120.12928060621992,17.906041932292283,1324.614292010665,3269.7934968625214
1786827077,20,,Aggregated,11.800000,0.000000,78,110,140,160,240,350,490,610,1100,1300,1300,1767,0,78,119.5738686263945,17.906041932292283,1324.614292010665,3253.7589134125637
1786827078,20,,Aggregated,12.000000,0.000000,77,110,140,160,240,350,490,610,1100,1300,1300,1778,0,77,119.14281572729372,17.906041932292283,1324.614292010665,3253.630483689539
1786827079,20,,Aggregated,12.000000,0.000000,77,110,140,160,240,350,490,610,1100,1300,1300,1784,0,77,118.91556062566998,17.906041932292283,1324.614292010665,3255.089125560538
1786827080,20,,Aggregated,12.000000,0.000000,77,110,140,160,240,350,490,610,1100,1300,1300,1798,0,76,118.31634908582284,17.906041932292283,1324.614292010665,3257.424360400445
1786827081,20,,Aggregated,11.900000,0.000000,76,100,130,160,240,350,490,590,1100,1300,1300,1813,0,76,117.77422384033262,17.906041932292283,1324.614292010665,3253.5388858246
1786827082,20,,Aggregated,11.600000,0.000000,76,100,130,160,240,350,490,590,1100,1300,1300,1825,0,76,117.59944734546318,17.906041932292283,1324.614292010665,3250.74301369863
1786827083,20,,Aggregated,11.400000,0.000000,75,100,130,160,240,350,490,590,1100,1300,1300,1835,0,75,117.20096931788989,17.906041932292283,1324.614292010665,3242.7874659400545
1786827084,20,,Aggregated,11.500000,0.000000,75,100,130,160,240,350,490,590,1100,1300,1300,1845,0,75,116.83978899640755,17.906041932292283,1324.614292010665,3236.712195121951
1786827085,20,,Aggregated,11.500000,0.000000,75,100,130,160,240,350,490,590,1100,1300,1300,1860,0,75,116.56160328677424,17.906041932292283,1324.614292010665,3225.351075268817
1786827086,20,,Aggregated,11.300000,0.000000,75,100,130,160,240,350,490,590,1100,1300,1300,1870,0,75,116.74650422743159,17.906041932292283,1324.614292010665,3219.648128342246
1786827087,20,,Aggregated,11.900000,0.000000,75,100,130,160,240,340,490,590,1100,1300,1300,1882,0,75,116.45856021305173,17.906041932292283,1324.614292010665,3228.1769394261423
1786827088,20,,Aggregated,12.000000,0.000000,75,100,130,150,240,340,490,590,1100,1300,1300,1890,0,75,116.15327649316184,17.906041932292283,1324.614292010665,3232.637037037037
1786827089,20,,Aggregated,11.300000,0.000000,74,100,130,150,240,340,490,580,1100,1300,1300,1902,0,74,115.82438139014532,17.906041932292283,1324.614292010665,3228.498422712934
1786827090,20,,Aggregated,11.500000,0.000000,74,100,130,150,240,340,490,580,1100,1300,1300,1912,0,74,115.66520542847421,17.906041932292283,1324.614292010665,3235.392259414226
1786827091,20,,Aggregated,11.800000,0.000000,74,100,130,150,240,340,490,580,1100,1300,1300,1925,0,74,115.24277808936918,17.906041932292283,1324.614292010665,3225.7231168831167
1786827092,20,,Aggregated,11.600000,0.000000,74,100,130,150,240,340,490,580,1100,1300,1300,1937,0,74,114.9686486355092,17.906041932292283,1324.614292010665,3214.4032008260197
1786827093,20,,Aggregated,11.300000,0.000000,74,100,130,150,240,340,490,580,1100,1300,1300,1948,0,74,114.66940739989286,17.906041932292283,1324.614292010665,3216.792607802875
